"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Actn4.12",0,-0.460322575157975,0.128,0.461,0,"Myonuclei (Type IIx)","Actn4"
"Fbln1.17",0,-0.460825141315823,0.001,0.115,0,"Myonuclei (Type IIx)","Fbln1"
"Comt.3",0,-0.461008806770063,0.154,0.509,0,"Myonuclei (Type IIx)","Comt"
"Rap2b.8",0,-0.461678109655987,0.006,0.27,0,"Myonuclei (Type IIx)","Rap2b"
"Plat.13",0,-0.461969212050713,0.002,0.167,0,"Myonuclei (Type IIx)","Plat"
"Cct3.3",0,-0.461970941862662,0.116,0.418,0,"Myonuclei (Type IIx)","Cct3"
"Slc50a1.6",0,-0.462319854993655,0.042,0.315,0,"Myonuclei (Type IIx)","Slc50a1"
"Cltb.15",0,-0.462380550519656,0.122,0.394,0,"Myonuclei (Type IIx)","Cltb"
"Rnf187.1",0,-0.462775014912736,0.082,0.405,0,"Myonuclei (Type IIx)","Rnf187"
"Rras.14",0,-0.463008662894781,0.035,0.275,0,"Myonuclei (Type IIx)","Rras"
"Gm8730.4",0,-0.463534414000645,0.053,0.291,0,"Myonuclei (Type IIx)","Gm8730"
"Reep3.8",0,-0.464643128112574,0.072,0.413,0,"Myonuclei (Type IIx)","Reep3"
"Spty2d1.2",0,-0.465232119259282,0.012,0.276,0,"Myonuclei (Type IIx)","Spty2d1"
"Tacc1.3",0,-0.46537089421584,0.021,0.298,0,"Myonuclei (Type IIx)","Tacc1"
"Elovl1.1",0,-0.465381997795637,0.008,0.301,0,"Myonuclei (Type IIx)","Elovl1"
"Samsn1.14",0,-0.465461415569517,0.001,0.129,0,"Myonuclei (Type IIx)","Samsn1"
"Pros1.10",0,-0.465578667519678,0.003,0.24,0,"Myonuclei (Type IIx)","Pros1"
"Tspan3.12",0,-0.465719932495967,0.069,0.361,0,"Myonuclei (Type IIx)","Tspan3"
"Acvrl1.11",0,-0.46585305294498,0.007,0.242,0,"Myonuclei (Type IIx)","Acvrl1"
"Ier3ip1",0,-0.466209454270367,0.118,0.487,0,"Myonuclei (Type IIx)","Ier3ip1"
"Polr2f.1",0,-0.466356971832213,0.082,0.424,0,"Myonuclei (Type IIx)","Polr2f"
"H13.1",0,-0.466587707610633,0.085,0.443,0,"Myonuclei (Type IIx)","H13"
"Casp4.4",0,-0.466605482488543,0.003,0.221,0,"Myonuclei (Type IIx)","Casp4"
"Leprotl1.3",0,-0.466848683310405,0.025,0.326,0,"Myonuclei (Type IIx)","Leprotl1"
"Gla.11",0,-0.467295176428143,0.002,0.221,0,"Myonuclei (Type IIx)","Gla"
"Ncf1.16",0,-0.467696887844042,0.001,0.201,0,"Myonuclei (Type IIx)","Ncf1"
"Yipf4",0,-0.467771274480876,0.037,0.341,0,"Myonuclei (Type IIx)","Yipf4"
"9530068E07Rik.4",0,-0.468256075164344,0.033,0.353,0,"Myonuclei (Type IIx)","9530068E07Rik"
"Medag.16",0,-0.468601324396383,0.008,0.178,0,"Myonuclei (Type IIx)","Medag"
"Serpine1.13",0,-0.46876766113384,0.006,0.135,0,"Myonuclei (Type IIx)","Serpine1"
"Tmem256.5",0,-0.46893623961671,0.149,0.529,0,"Myonuclei (Type IIx)","Tmem256"
"Aamp.1",0,-0.46934824367161,0.089,0.432,0,"Myonuclei (Type IIx)","Aamp"
"Ebp",0,-0.469494164031885,0.007,0.317,0,"Myonuclei (Type IIx)","Ebp"
"Alyref",0,-0.469978563874083,0.031,0.322,0,"Myonuclei (Type IIx)","Alyref"
"Rpn1.3",0,-0.470087038703635,0.061,0.383,0,"Myonuclei (Type IIx)","Rpn1"
"Gch1.10",0,-0.470103186496384,0.015,0.24,0,"Myonuclei (Type IIx)","Gch1"
"Mfsd1.10",0,-0.470125351594615,0.013,0.292,0,"Myonuclei (Type IIx)","Mfsd1"
"Abi3bp.16",0,-0.470765936537569,0.055,0.182,0,"Myonuclei (Type IIx)","Abi3bp"
"Pdia4.3",0,-0.470988087312535,0.007,0.288,0,"Myonuclei (Type IIx)","Pdia4"
"Snhg1.6",0,-0.471380586857356,0.059,0.331,0,"Myonuclei (Type IIx)","Snhg1"
"Snx18.8",0,-0.471933525887961,0.022,0.297,0,"Myonuclei (Type IIx)","Snx18"
"Derl1",0,-0.472175173244006,0.055,0.394,0,"Myonuclei (Type IIx)","Derl1"
"Eif2s2.5",0,-0.472450945675102,0.297,0.644,0,"Myonuclei (Type IIx)","Eif2s2"
"Cd37.17",0,-0.472473507659622,0.002,0.206,0,"Myonuclei (Type IIx)","Cd37"
"Fam101b.15",0,-0.472644677982286,0.005,0.119,0,"Myonuclei (Type IIx)","Fam101b"
"Mrpl33.3",0,-0.473148854111362,0.183,0.596,0,"Myonuclei (Type IIx)","Mrpl33"
"Rgl1.7",0,-0.473493884690889,0.004,0.252,0,"Myonuclei (Type IIx)","Rgl1"
"Cmtm6.4",0,-0.473659134962618,0.006,0.277,0,"Myonuclei (Type IIx)","Cmtm6"
"Ppp4c.1",0,-0.474094174615278,0.029,0.325,0,"Myonuclei (Type IIx)","Ppp4c"
"Llph.1",0,-0.474789117086198,0.095,0.43,0,"Myonuclei (Type IIx)","Llph"
"Tap2.6",0,-0.474875998104032,0.012,0.272,0,"Myonuclei (Type IIx)","Tap2"
"Fam195b.2",0,-0.475444173284622,0.078,0.405,0,"Myonuclei (Type IIx)","Fam195b"
"Ctnnbip1.11",0,-0.475539997854418,0.037,0.246,0,"Myonuclei (Type IIx)","Ctnnbip1"
"Sys1",0,-0.475954008915771,0.059,0.382,0,"Myonuclei (Type IIx)","Sys1"
"Fam107b.12",0,-0.476217155923616,0.001,0.193,0,"Myonuclei (Type IIx)","Fam107b"
"Bcl7c.3",0,-0.476923543407446,0.041,0.34,0,"Myonuclei (Type IIx)","Bcl7c"
"Rpl9-ps6.5",0,-0.477205535211355,0.028,0.248,0,"Myonuclei (Type IIx)","Rpl9-ps6"
"Wwtr1.14",0,-0.477413349294011,0.032,0.236,0,"Myonuclei (Type IIx)","Wwtr1"
"Fbln5.16",0,-0.477755272075436,0.002,0.158,0,"Myonuclei (Type IIx)","Fbln5"
"Ube2a.1",0,-0.47778763992624,0.067,0.38,0,"Myonuclei (Type IIx)","Ube2a"
"Bcam.15",0,-0.478125787311303,0.015,0.114,0,"Myonuclei (Type IIx)","Bcam"
"Slc11a1.16",0,-0.478603607340507,0.003,0.213,0,"Myonuclei (Type IIx)","Slc11a1"
"Nono.2",0,-0.478886519052764,0.069,0.409,0,"Myonuclei (Type IIx)","Nono"
"Slc1a5.6",0,-0.479118547622202,0.019,0.268,0,"Myonuclei (Type IIx)","Slc1a5"
"Ptplad2.12",0,-0.479147331344955,0.002,0.24,0,"Myonuclei (Type IIx)","Ptplad2"
