"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Baz2a",1.4819042109285e-81,-0.668095565439349,0.193,0.204,4.1868239671363e-77
"Zfp871",3.24043664755765e-81,-0.548013983530808,0.119,0.14,9.15520566034462e-77
"Ctr9",4.03966419896325e-81,-0.266257744839637,0.14,0.094,1.14132632613309e-76
"Larp1b",1.513413881637e-80,-0.435584508639185,0.078,0.101,4.27584823978903e-76
"Usp7",2.30686967450221e-80,-0.713891896514886,0.256,0.253,6.51759889137109e-76
"Ube3a",2.70565288353445e-80,-0.726619999371574,0.315,0.293,7.64428109184989e-76
"Ttc17",3.28349282478955e-80,-0.446360056877767,0.082,0.104,9.27685227787793e-76
"Mat2a",6.13403072113643e-80,-0.462429805853309,0.581,0.503,1.73304769964267e-75
"Hmbox1",3.27011883356543e-79,-0.541536277500946,0.116,0.137,9.23906674047242e-75
"5031425E22Rik",1.36608622682762e-77,-0.478438773401482,0.118,0.14,3.85960341665608e-73
"Nfe2l1",2.02476080001133e-77,-0.751936930923343,0.3,0.283,5.720556688272e-73
"Ahdc1",8.56072284720107e-77,-0.440201039056794,0.096,0.119,2.41866102601972e-72
"Smarcad1",2.0621728181953e-76,-0.464977341088028,0.078,0.1,5.82625686324719e-72
"Rhobtb3",8.76771676172776e-76,-0.487136169830332,0.087,0.108,2.47714301669094e-71
"Ing4",3.47127311277482e-75,-0.358934145582469,0.196,0.134,9.80738792552271e-71
"Yipf5",4.1725087897965e-75,-0.395401511905343,0.285,0.196,1.17885890838121e-70
"Usp3",6.43605359043694e-75,-0.335007559442518,0.185,0.127,1.81837822090615e-70
"Wdfy1",1.30337928927289e-74,-0.628208064680141,0.142,0.159,3.68243750598271e-70
"Foxj3",3.197150507143e-74,-0.521013651119446,0.116,0.136,9.03290932783111e-70
"Suv420h1",7.03978594239003e-74,-0.669522928422811,0.185,0.196,1.98895072230346e-69
"Setdb1",9.92225969040095e-74,-0.494668762458457,0.092,0.112,2.80333603032898e-69
"Kat6a",1.91414459410242e-73,-0.316743943836359,0.191,0.132,5.40803272171757e-69
"Thra",2.21883675274701e-73,-0.259738589488555,0.256,0.185,6.26887947753613e-69
"Ccdc47",2.91405547481792e-72,-0.368777767639583,0.247,0.171,8.23308093300308e-68
"Dyrk1a",1.05505072050183e-71,-0.327430785326277,0.185,0.127,2.98083480063382e-67
"Phactr2",1.082254698381e-71,-0.311516453965232,0.223,0.158,3.05769419933585e-67
"Hdac7",2.07646608424096e-71,-0.253716611998569,0.147,0.103,5.86663962780597e-67
"Mtdh",3.46700029750096e-71,-0.2826064615182,0.576,0.393,9.79531594052947e-67
"Ctbp2",4.17487518860376e-70,-0.315197419307204,0.181,0.126,1.17952748703622e-65
"Rreb1",4.74600476301182e-69,-0.600394846675572,0.134,0.151,1.34088872569373e-64
"Plekha1",5.19858116591654e-69,-0.315820178289678,0.164,0.113,1.4687551368064e-64
"Ipo8",9.37477919984609e-69,-0.429848978873595,0.079,0.1,2.64865636733252e-64
"Itpr2",1.6759467243784e-68,-0.300241103247813,0.18,0.126,4.73505228038628e-64
"Vcl",3.73611907299702e-68,-0.557909064980025,0.177,0.191,1.05556572169385e-63
