"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","is.trascr.factor","is.surface.protein"
"Surf6",3.49893938841056e-203,0.460971104206104,0.592,0.085,9.88555345407637e-199,"1","Surf6",FALSE,FALSE
"Tomm70a",3.91611000174787e-203,0.857260406185484,0.893,0.197,1.10641855879383e-198,"1","Tomm70a",FALSE,FALSE
"Lrrc59",2.68330699279136e-202,0.928905930478425,0.936,0.222,7.58114724673344e-198,"1","Lrrc59",FALSE,FALSE
"Wdr36",3.97346623423913e-202,0.578825208379427,0.669,0.11,1.12262341515958e-197,"1","Wdr36",FALSE,FALSE
"Rcl1",5.51884641739083e-202,0.72345247018249,0.866,0.177,1.55923967830543e-197,"1","Rcl1",FALSE,FALSE
"Hprt",5.89487324371031e-201,1.06993434728465,0.963,0.256,1.66547853754547e-196,"1","Hprt",FALSE,FALSE
"Rrp15",6.27422917029237e-201,0.838103861023905,0.906,0.203,1.7726579674827e-196,"1","Rrp15",FALSE,FALSE
"Cbr3",6.62103688707483e-201,0.974126526462316,0.552,0.079,1.87064155170525e-196,"1","Cbr3",FALSE,FALSE
"Pdxp",2.03165468617768e-200,0.382612731805786,0.415,0.045,5.7400339848578e-196,"1","Pdxp",FALSE,FALSE
"Nudt5",2.03827222662703e-200,0.643894601847343,0.783,0.147,5.75873052188935e-196,"1","Nudt5",FALSE,FALSE
"Cdca7",3.38419263015013e-200,0.372439987133723,0.428,0.048,9.56135943796315e-196,"1","Cdca7",FALSE,FALSE
"Denr",6.96074483565174e-200,1.08623793390846,0.946,0.252,1.96661923841669e-195,"1","Denr",FALSE,FALSE
"Thumpd3",6.81124015623021e-199,0.637771089187058,0.746,0.136,1.92437968133972e-194,"1","Thumpd3",FALSE,FALSE
"Trmt6",1.08833458208008e-198,0.606775148819017,0.706,0.123,3.07487169475085e-194,"1","Trmt6",FALSE,FALSE
"Eif2b3",1.34996221403787e-198,0.666811678543273,0.786,0.149,3.8140482433212e-194,"1","Eif2b3",FALSE,FALSE
"Abce1",8.32607148963771e-198,0.929533066735294,0.946,0.235,2.35236497796734e-193,"1","Abce1",FALSE,FALSE
"Mphosph10",9.50743980204607e-198,0.92900536465599,0.936,0.224,2.68613696727208e-193,"1","Mphosph10",FALSE,FALSE
"Mrto4",1.51681836409842e-197,1.0131536770029,0.96,0.252,4.28546692408727e-193,"1","Mrto4",FALSE,FALSE
"Gpatch4",1.81863522182561e-197,0.684236085357544,0.813,0.158,5.1381900922239e-193,"1","Gpatch4",FALSE,FALSE
"Thyn1",2.11280834259246e-197,0.61484096285037,0.756,0.138,5.96931741032647e-193,"1","Thyn1",FALSE,FALSE
"Pdcd2",4.65021019407542e-197,0.569598170227013,0.706,0.123,1.31382388613213e-192,"1","Pdcd2",FALSE,FALSE
"Iars",1.21181885903031e-196,0.663562848232563,0.826,0.163,3.42375182241832e-192,"1","Iars",FALSE,FALSE
"Aatf",1.48984302433158e-196,0.708940968087371,0.806,0.16,4.20925349664403e-192,"1","Aatf",FALSE,FALSE
"Eif3b",4.12977023712819e-196,1.00952771672859,0.983,0.273,1.16678398509583e-191,"1","Eif3b",FALSE,FALSE
"Rrs1",4.1772783636589e-196,1.0413425235487,0.953,0.252,1.18020645608455e-191,"1","Rrs1",FALSE,FALSE
"Umps",5.61610331293026e-196,0.551308568628998,0.639,0.102,1.58671766900219e-191,"1","Umps",FALSE,FALSE
"Mettl1",1.4911038536435e-195,0.860404411786007,0.936,0.223,4.21281571769899e-191,"1","Mettl1",FALSE,FALSE
"C1qbp",1.82532517695793e-195,1.27239103820688,0.983,0.344,5.15709122245923e-191,"1","C1qbp",FALSE,FALSE
"Nubp1",7.11949344970274e-195,0.63126496368875,0.692,0.123,2.01147048434452e-190,"1","Nubp1",FALSE,FALSE
"Pdrg1",1.91072372764787e-194,0.781786972501846,0.87,0.192,5.39836774772354e-190,"1","Pdrg1",FALSE,FALSE
"Rpp14",9.78092421929292e-194,0.437457995795803,0.609,0.093,2.76340451967683e-189,"1","Rpp14",FALSE,FALSE
"Nop56",1.06605312368781e-193,1.44735333864144,0.99,0.391,3.01191989035516e-189,"1","Nop56",FALSE,TRUE
"Rgs19",7.27360684176578e-193,0.387996589668598,0.485,0.063,2.05501214100408e-188,"1","Rgs19",FALSE,FALSE
"Dbr1",4.64126656324883e-192,0.361652255308632,0.488,0.063,1.31129704211469e-187,"1","Dbr1",FALSE,FALSE
"Rps19bp1",6.50369292728231e-192,0.807107715160195,0.9,0.205,1.83748836274507e-187,"1","Rps19bp1",FALSE,FALSE
"Riok2",1.15195012851812e-191,0.600143087372386,0.789,0.151,3.25460469810224e-187,"1","Riok2",FALSE,FALSE
"Polr1e",2.09245121416883e-191,0.439169583014194,0.505,0.068,5.9118024153912e-187,"1","Polr1e",FALSE,FALSE
"Lsg1",4.70330419151521e-191,0.706231722749018,0.836,0.172,1.32882453322879e-186,"1","Lsg1",FALSE,FALSE
"Nup43",2.06200586249939e-190,0.449043576237464,0.525,0.074,5.82578516331953e-186,"1","Nup43",FALSE,FALSE
"Sc4mol",3.09830786274795e-190,0.744991307424988,0.742,0.136,8.75364920462179e-186,"1","Sc4mol",FALSE,FALSE
"Cirh1a",5.11499602827949e-190,0.67111701631026,0.86,0.179,1.4451398278698e-185,"1","Cirh1a",FALSE,FALSE
"Timm9",6.35058944613755e-190,0.879807628152605,0.906,0.218,1.79423203621724e-185,"1","Timm9",FALSE,FALSE
"Nkrf",1.28770373029782e-189,0.308791989837793,0.391,0.042,3.63814934921043e-185,"1","Nkrf",TRUE,FALSE
"3110082I17Rik",1.832219622602e-189,0.367987845359556,0.465,0.058,5.17657009973744e-185,"1","3110082I17Rik",FALSE,FALSE
"Fam136a",4.81557154298718e-189,0.648596259185553,0.726,0.135,1.36054342804017e-184,"1","Fam136a",FALSE,FALSE
"Vgll3",8.82218839117626e-189,0.801119802164648,0.756,0.149,2.49253288615903e-184,"1","Vgll3",FALSE,FALSE
"BC016423",1.64831609568791e-188,0.549698324141851,0.719,0.127,4.65698746514705e-184,"1","BC016423",FALSE,FALSE
"Npm3",1.90135827709952e-188,1.08428631883059,0.957,0.274,5.37190754028928e-184,"1","Npm3",FALSE,FALSE
