"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc1a3",0,-0.27193618920143,0.034,0.171,0,"FAPs (Stem)","Slc1a3"
"Ednra",0,-0.272354532397885,0.017,0.165,0,"FAPs (Stem)","Ednra"
"3632451O06Rik",0,-0.274270630875533,0.059,0.208,0,"FAPs (Stem)","3632451O06Rik"
"Cntfr",0,-0.275074722622392,0.021,0.139,0,"FAPs (Stem)","Cntfr"
"Pear1",0,-0.275407130877705,0.031,0.2,0,"FAPs (Stem)","Pear1"
"Mmp19",0,-0.277584379299544,0.166,0.333,0,"FAPs (Stem)","Mmp19"
"Phldb2",0,-0.279871265333303,0.113,0.284,0,"FAPs (Stem)","Phldb2"
"Palld",0,-0.281226623889787,0.11,0.271,0,"FAPs (Stem)","Palld"
"Aoc3",0,-0.282704425765113,0.065,0.229,0,"FAPs (Stem)","Aoc3"
"H6pd",0,-0.283013628664057,0.131,0.3,0,"FAPs (Stem)","H6pd"
"Plscr2",0,-0.2836171820024,0.05,0.204,0,"FAPs (Stem)","Plscr2"
"Ghr",0,-0.284423624741272,0.222,0.39,0,"FAPs (Stem)","Ghr"
"S1pr3",0,-0.285349671186198,0.059,0.213,0,"FAPs (Stem)","S1pr3"
"Ptgir",0,-0.290075053392753,0.045,0.205,0,"FAPs (Stem)","Ptgir"
"Idh2",0,-0.291805134596406,0.232,0.405,0,"FAPs (Stem)","Idh2"
"Emp2",0,-0.296756274076408,0.163,0.336,0,"FAPs (Stem)","Emp2"
"Cd97",0,-0.297388693107147,0.045,0.216,0,"FAPs (Stem)","Cd97"
"Marcksl1",0,-0.298179866565635,0.084,0.25,0,"FAPs (Stem)","Marcksl1"
"Rnf150",0,-0.299384092622875,0.059,0.251,0,"FAPs (Stem)","Rnf150"
"Sec11a",0,-0.299661169593137,0.592,0.726,0,"FAPs (Stem)","Sec11a"
"Epha4",0,-0.308098842783586,0.025,0.183,0,"FAPs (Stem)","Epha4"
"Pcdh7",0,-0.308121719006045,0.221,0.401,0,"FAPs (Stem)","Pcdh7"
"Myo10",0,-0.31040160766475,0.052,0.243,0,"FAPs (Stem)","Myo10"
"Pappa",0,-0.311140146451953,0.014,0.152,0,"FAPs (Stem)","Pappa"
"Angpt1",0,-0.313641844948489,0.102,0.274,0,"FAPs (Stem)","Angpt1"
"Lepre1",0,-0.316275770040155,0.254,0.427,0,"FAPs (Stem)","Lepre1"
"Sdc1",0,-0.316639763401125,0.063,0.255,0,"FAPs (Stem)","Sdc1"
"Mylk",0,-0.317428105491501,0.017,0.169,0,"FAPs (Stem)","Mylk"
"Crtap",0,-0.31793123208072,0.453,0.613,0,"FAPs (Stem)","Crtap"
"Sdc3",0,-0.318156569758674,0.052,0.237,0,"FAPs (Stem)","Sdc3"
"Tspan9",0,-0.320076362504407,0.085,0.274,0,"FAPs (Stem)","Tspan9"
"Lhfpl2",0,-0.321305313436018,0.111,0.296,0,"FAPs (Stem)","Lhfpl2"
"Rnaset2b",0,-0.321320805386641,0.177,0.343,0,"FAPs (Stem)","Rnaset2b"
"Ptges",0,-0.322117395918903,0.248,0.426,0,"FAPs (Stem)","Ptges"
"Pld3",0,-0.322657211046627,0.206,0.403,0,"FAPs (Stem)","Pld3"
"Rgs3",0,-0.325371672530063,0.057,0.239,0,"FAPs (Stem)","Rgs3"
"Pofut2",0,-0.327043649824961,0.449,0.609,0,"FAPs (Stem)","Pofut2"
"Capn6",0,-0.327106148874855,0.067,0.241,0,"FAPs (Stem)","Capn6"
"Slc16a2",0,-0.329188954330122,0.189,0.386,0,"FAPs (Stem)","Slc16a2"
"Snai1",0,-0.329320142657298,0.111,0.284,0,"FAPs (Stem)","Snai1"
"Adam12",0,-0.330376960778462,0.076,0.258,0,"FAPs (Stem)","Adam12"
"Fmo1",0,-0.330736814766592,0.161,0.323,0,"FAPs (Stem)","Fmo1"
"Mlec",0,-0.3329281517066,0.372,0.543,0,"FAPs (Stem)","Mlec"
"Dact3",0,-0.333134975735376,0.084,0.279,0,"FAPs (Stem)","Dact3"
"Pros1",0,-0.333211949384483,0.469,0.636,0,"FAPs (Stem)","Pros1"
"Deptor",0,-0.33664916774399,0.115,0.282,0,"FAPs (Stem)","Deptor"
"Gsto1",0,-0.337187926716624,0.121,0.32,0,"FAPs (Stem)","Gsto1"
"Sox9",0,-0.338362467145274,0.112,0.262,0,"FAPs (Stem)","Sox9"
"Enpp1",0,-0.338524808353137,0.046,0.223,0,"FAPs (Stem)","Enpp1"
"Mpzl1",0,-0.339519768463846,0.083,0.285,0,"FAPs (Stem)","Mpzl1"
"Ccbe1",0,-0.341172408898636,0.034,0.228,0,"FAPs (Stem)","Ccbe1"
"Gaa",0,-0.341474058815927,0.346,0.526,0,"FAPs (Stem)","Gaa"
"Dnm3os",0,-0.34195855758908,0.18,0.34,0,"FAPs (Stem)","Dnm3os"
"Cyth3",0,-0.342476771080192,0.333,0.511,0,"FAPs (Stem)","Cyth3"
"Spats2l",0,-0.343727131248438,0.162,0.348,0,"FAPs (Stem)","Spats2l"
"Sertad4",0,-0.345202708468578,0.113,0.291,0,"FAPs (Stem)","Sertad4"
"Ppic",0,-0.345326090190098,0.728,0.81,0,"FAPs (Stem)","Ppic"
"Tspan11",0,-0.34554864337905,0.063,0.248,0,"FAPs (Stem)","Tspan11"
"Kcnk2",0,-0.346020864111601,0.04,0.172,0,"FAPs (Stem)","Kcnk2"
"Auts2",0,-0.346971708698022,0.326,0.507,0,"FAPs (Stem)","Auts2"
"Siva1",0,-0.347980695687682,0.279,0.486,0,"FAPs (Stem)","Siva1"
"Cnpy2",0,-0.348426735702284,0.587,0.708,0,"FAPs (Stem)","Cnpy2"
"Ogfrl1",0,-0.352698992718081,0.078,0.267,0,"FAPs (Stem)","Ogfrl1"
"Calm3",0,-0.352831569861189,0.552,0.693,0,"FAPs (Stem)","Calm3"
"Wwtr1",0,-0.3533573101355,0.381,0.564,0,"FAPs (Stem)","Wwtr1"
"Ctsz",0,-0.354348447948076,0.742,0.842,0,"FAPs (Stem)","Ctsz"
"Trps1",0,-0.358758776953811,0.269,0.469,0,"FAPs (Stem)","Trps1"
"Arhgap24",0,-0.358905604714795,0.227,0.411,0,"FAPs (Stem)","Arhgap24"
"Tfpi2",0,-0.360542488032458,0.155,0.323,0,"FAPs (Stem)","Tfpi2"
"Ikbip",0,-0.363078754959583,0.422,0.604,0,"FAPs (Stem)","Ikbip"
"Fkbp7",0,-0.366401473657715,0.596,0.732,0,"FAPs (Stem)","Fkbp7"
"Fam132a",0,-0.369244627175834,0.113,0.341,0,"FAPs (Stem)","Fam132a"
"Ngfrap1",0,-0.369326021410822,0.17,0.382,0,"FAPs (Stem)","Ngfrap1"
"Tmed9",0,-0.369536733653503,0.741,0.827,0,"FAPs (Stem)","Tmed9"
"Cdc42ep5",0,-0.371416596029024,0.259,0.461,0,"FAPs (Stem)","Cdc42ep5"
"Dhrs3",0,-0.371607885544425,0.172,0.348,0,"FAPs (Stem)","Dhrs3"
"Epha3",0,-0.374946467240844,0.076,0.257,0,"FAPs (Stem)","Epha3"
"Il1r1",0,-0.377845414358602,0.279,0.451,0,"FAPs (Stem)","Il1r1"
"Myh9",0,-0.380285426720146,0.237,0.417,0,"FAPs (Stem)","Myh9"
"Serpinf1",0,-0.381123490920302,0.959,0.98,0,"FAPs (Stem)","Serpinf1"
"C2",0,-0.381829384334998,0.091,0.225,0,"FAPs (Stem)","C2"
"Ppib",0,-0.382108597905393,0.906,0.928,0,"FAPs (Stem)","Ppib"
"Csgalnact1",0,-0.383007131376907,0.133,0.335,0,"FAPs (Stem)","Csgalnact1"
"Ssr4",0,-0.383143051897016,0.752,0.812,0,"FAPs (Stem)","Ssr4"
"Leprel2",0,-0.385658570268358,0.433,0.616,0,"FAPs (Stem)","Leprel2"
"Nt5dc2",0,-0.38615343779695,0.059,0.215,0,"FAPs (Stem)","Nt5dc2"
"Pdgfra",0,-0.391922437749961,0.635,0.775,0,"FAPs (Stem)","Pdgfra"
"Igsf3",0,-0.395148387284212,0.127,0.359,0,"FAPs (Stem)","Igsf3"
"Tril",0,-0.399475466036359,0.174,0.366,0,"FAPs (Stem)","Tril"
"Sparc",0,-0.399868497945321,0.985,0.983,0,"FAPs (Stem)","Sparc"
"Slc50a1",0,-0.401220884006045,0.412,0.616,0,"FAPs (Stem)","Slc50a1"
"Maged2",0,-0.403051457110751,0.475,0.645,0,"FAPs (Stem)","Maged2"
"Pdgfrb",0,-0.404179055261533,0.387,0.563,0,"FAPs (Stem)","Pdgfrb"
"Mbnl2",0,-0.406219252388214,0.527,0.7,0,"FAPs (Stem)","Mbnl2"
"Col12a1",0,-0.406224492971624,0.176,0.339,0,"FAPs (Stem)","Col12a1"
"0610007N19Rik",0,-0.406710580525594,0.472,0.647,0,"FAPs (Stem)","0610007N19Rik"
"Adamts4",0,-0.409785324328341,0.16,0.332,0,"FAPs (Stem)","Adamts4"
"Clec1a",0,-0.410136996037758,0.064,0.234,0,"FAPs (Stem)","Clec1a"
"Rrbp1",0,-0.415671257318466,0.82,0.883,0,"FAPs (Stem)","Rrbp1"
"Adam19",0,-0.418717288574639,0.198,0.402,0,"FAPs (Stem)","Adam19"
"Eng",0,-0.421848473695516,0.242,0.448,0,"FAPs (Stem)","Eng"
"Cd302",0,-0.424480598769057,0.772,0.865,0,"FAPs (Stem)","Cd302"
"P4hb",0,-0.424770151728057,0.734,0.804,0,"FAPs (Stem)","P4hb"
"Pde4b",0,-0.42494644933013,0.143,0.299,0,"FAPs (Stem)","Pde4b"
"Itgbl1",0,-0.426116743888627,0.217,0.379,0,"FAPs (Stem)","Itgbl1"
"Tpm1",0,-0.426250965749701,0.309,0.486,0,"FAPs (Stem)","Tpm1"
"Mme",0,-0.426356803066899,0.087,0.272,0,"FAPs (Stem)","Mme"
"App",0,-0.426456500882687,0.786,0.879,0,"FAPs (Stem)","App"
"Phlda3",0,-0.427496598857759,0.263,0.449,0,"FAPs (Stem)","Phlda3"
"Pcolce",0,-0.428064915430272,0.9,0.962,0,"FAPs (Stem)","Pcolce"
"Ndrg2",0,-0.428838357575329,0.124,0.322,0,"FAPs (Stem)","Ndrg2"
"Csrp1",0,-0.430683405664734,0.158,0.357,0,"FAPs (Stem)","Csrp1"
"Wisp1",0,-0.432307671839555,0.032,0.231,0,"FAPs (Stem)","Wisp1"
"Nnmt",0,-0.43404388826679,0.432,0.623,0,"FAPs (Stem)","Nnmt"
"Maged1",0,-0.434247752877392,0.523,0.669,0,"FAPs (Stem)","Maged1"
"Cyp1b1",0,-0.434995930762673,0.075,0.264,0,"FAPs (Stem)","Cyp1b1"
"Fhl2",0,-0.43760937248144,0.065,0.285,0,"FAPs (Stem)","Fhl2"
"Ckap4",0,-0.440530061130747,0.555,0.675,0,"FAPs (Stem)","Ckap4"
"Runx1",0,-0.441010296529111,0.24,0.442,0,"FAPs (Stem)","Runx1"
