"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tnfrsf1b",0,0.480902085667351,0.618,0.514,0,"Monocyte (Patrolling)","Tnfrsf1b"
"Gapdh",0,0.480334721882505,0.887,0.828,0,"Monocyte (Patrolling)","Gapdh"
"Mir22hg",0,0.480218505067097,0.503,0.307,0,"Monocyte (Patrolling)","Mir22hg"
"Ly6e",0,0.477784430215662,0.936,0.849,0,"Monocyte (Patrolling)","Ly6e"
"Ear2",0,0.477420923958633,0.125,0.032,0,"Monocyte (Patrolling)","Ear2"
"Atp2b1",0,0.477180137743455,0.922,0.852,0,"Monocyte (Patrolling)","Atp2b1"
"Manf",0,0.475410839196517,0.713,0.615,0,"Monocyte (Patrolling)","Manf"
"Clec4a2",0,0.475077152889248,0.727,0.558,0,"Monocyte (Patrolling)","Clec4a2"
"Pim1",0,0.471640199735774,0.79,0.617,0,"Monocyte (Patrolling)","Pim1"
"Ppp4r2",0,0.471356472376467,0.51,0.374,0,"Monocyte (Patrolling)","Ppp4r2"
"Map2k3",0,0.469688416020507,0.665,0.506,0,"Monocyte (Patrolling)","Map2k3"
"Ldlr",0,0.464396353728723,0.314,0.137,0,"Monocyte (Patrolling)","Ldlr"
"Lsp1",0,0.464066256458448,0.8,0.584,0,"Monocyte (Patrolling)","Lsp1"
"Msn",0,0.463898780387193,0.871,0.767,0,"Monocyte (Patrolling)","Msn"
"Arg2",0,0.462045476848014,0.248,0.1,0,"Monocyte (Patrolling)","Arg2"
"Pyhin1",0,0.456181050207438,0.444,0.302,0,"Monocyte (Patrolling)","Pyhin1"
"Rab20",0,0.45459055889815,0.611,0.469,0,"Monocyte (Patrolling)","Rab20"
"Cd177",0,0.453396005534031,0.199,0.039,0,"Monocyte (Patrolling)","Cd177"
"Errfi1",0,0.453382561023754,0.362,0.248,0,"Monocyte (Patrolling)","Errfi1"
"Arhgdib",0,0.452163783349744,0.91,0.858,0,"Monocyte (Patrolling)","Arhgdib"
"Arl5c",0,0.450336184875158,0.422,0.305,0,"Monocyte (Patrolling)","Arl5c"
"Alox5ap",0,0.450116127848996,0.932,0.875,0,"Monocyte (Patrolling)","Alox5ap"
"Ptpn1",0,0.449457961561315,0.75,0.643,0,"Monocyte (Patrolling)","Ptpn1"
"Ifrd1",0,0.446382496129118,0.824,0.689,0,"Monocyte (Patrolling)","Ifrd1"
"Itgal",0,0.446150436196981,0.276,0.159,0,"Monocyte (Patrolling)","Itgal"
"Actr3",0,0.445110081373502,0.945,0.894,0,"Monocyte (Patrolling)","Actr3"
"Ms4a6c",0,0.442719404412614,0.921,0.857,0,"Monocyte (Patrolling)","Ms4a6c"
"Fam49b",0,0.441787446396233,0.869,0.794,0,"Monocyte (Patrolling)","Fam49b"
"Stk40",0,0.441407755412803,0.412,0.228,0,"Monocyte (Patrolling)","Stk40"
"Hopx",0,0.441299265487061,0.238,0.088,0,"Monocyte (Patrolling)","Hopx"
"Cybb",0,0.440957067375216,0.875,0.787,0,"Monocyte (Patrolling)","Cybb"
"Picalm",0,0.439036784424535,0.774,0.671,0,"Monocyte (Patrolling)","Picalm"
"Trps1",0,0.437571779640119,0.554,0.421,0,"Monocyte (Patrolling)","Trps1"
"Cdkn1a",0,0.435303124014837,0.873,0.726,0,"Monocyte (Patrolling)","Cdkn1a"
"Cyp51",0,0.432953388089262,0.266,0.137,0,"Monocyte (Patrolling)","Cyp51"
"Tagln2",0,0.431754508185966,0.878,0.808,0,"Monocyte (Patrolling)","Tagln2"
"Ccdc109b",0,0.427563220654607,0.615,0.478,0,"Monocyte (Patrolling)","Ccdc109b"
"Cd53",0,0.425898310989896,0.922,0.865,0,"Monocyte (Patrolling)","Cd53"
"Pid1",0,0.42493992370019,0.678,0.577,0,"Monocyte (Patrolling)","Pid1"
"Nfe2l2",0,0.424157561169628,0.776,0.686,0,"Monocyte (Patrolling)","Nfe2l2"
"Ccdc71l",0,0.424101701126112,0.386,0.249,0,"Monocyte (Patrolling)","Ccdc71l"
"Nt5dc2",0,0.41789961943154,0.342,0.226,0,"Monocyte (Patrolling)","Nt5dc2"
"Ncf4",0,0.417859337084108,0.695,0.551,0,"Monocyte (Patrolling)","Ncf4"
"Lyn",0,0.417241487131395,0.78,0.681,0,"Monocyte (Patrolling)","Lyn"
"Snx18",0,0.416581965022983,0.532,0.389,0,"Monocyte (Patrolling)","Snx18"
"Sell",0,0.415065783618035,0.169,0.032,0,"Monocyte (Patrolling)","Sell"
