"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ryr1",0,0.268474216922967,0.179,0.061,0,"Dendritic","Ryr1"
"Msi2",0,0.266427151899319,0.174,0.074,0,"Dendritic","Msi2"
"A530032D15Rik.1",0,0.266246745734691,0.166,0.069,0,"Dendritic","A530032D15Rik"
"Slco3a1.1",0,0.266172162371312,0.158,0.042,0,"Dendritic","Slco3a1"
"Uck2.1.1",0,0.264308990986933,0.211,0.095,0,"Dendritic","Uck2.1"
"Nsmaf",0,0.262035955465009,0.21,0.098,0,"Dendritic","Nsmaf"
"Slc2a6",0,0.261356964496378,0.178,0.078,0,"Dendritic","Slc2a6"
"Serpinb1a",0,0.26035389274598,0.105,0.033,0,"Dendritic","Serpinb1a"
"Fam3c",0,-0.250821902328635,0.137,0.314,0,"Dendritic","Fam3c"
"Fmn1",0,-0.251703085425761,0.018,0.16,0,"Dendritic","Fmn1"
"March8",0,-0.252985473821596,0.018,0.164,0,"Dendritic","March8"
"Ikbke",0,-0.255617626997841,0.022,0.155,0,"Dendritic","Ikbke"
"Cd200r4.1",0,-0.255878902188628,0.019,0.163,0,"Dendritic","Cd200r4"
"Sgms2.1",0,-0.256777670571148,0.016,0.133,0,"Dendritic","Sgms2"
"Siglec1.1",0,-0.258091488424322,0.016,0.15,0,"Dendritic","Siglec1"
"Nrp2.1",0,-0.259909252461876,0.105,0.275,0,"Dendritic","Nrp2"
"Wls",0,-0.260366633017324,0.123,0.293,0,"Dendritic","Wls"
"Bcar3",0,-0.263458929908697,0.024,0.159,0,"Dendritic","Bcar3"
"Sept8.1",0,-0.265438428214086,0.033,0.181,0,"Dendritic","Sept8"
"Tmem104",0,-0.270261976078451,0.041,0.201,0,"Dendritic","Tmem104"
"Pon3",0,-0.271096973813991,0.034,0.191,0,"Dendritic","Pon3"
"Kcnk13",0,-0.27574053946313,0.038,0.2,0,"Dendritic","Kcnk13"
"Frrs1",0,-0.275983642881933,0.106,0.271,0,"Dendritic","Frrs1"
"S1pr2",0,-0.276569398351318,0.039,0.196,0,"Dendritic","S1pr2"
"Ldhb",0,-0.278105127491491,0.036,0.179,0,"Dendritic","Ldhb"
"Enpp1.1",0,-0.278354851247067,0.03,0.186,0,"Dendritic","Enpp1"
"Prune2.1",0,-0.28266020178455,0.016,0.156,0,"Dendritic","Prune2"
"Osbpl11",0,-0.282680129884658,0.095,0.249,0,"Dendritic","Osbpl11"
"Gaa.1",0,-0.286185964103075,0.106,0.28,0,"Dendritic","Gaa"
"Ncapg2",0,-0.288671860226019,0.045,0.191,0,"Dendritic","Ncapg2"
"Slc35f6",0,-0.290185893967509,0.136,0.308,0,"Dendritic","Slc35f6"
"Gpx3.1",0,-0.291265917215575,0.03,0.167,0,"Dendritic","Gpx3"
"Fbxw4",0,-0.294772869574668,0.091,0.25,0,"Dendritic","Fbxw4"
"Gdpd1",0,-0.29684038362876,0.008,0.169,0,"Dendritic","Gdpd1"
"Itga9",0,-0.297676638345103,0.01,0.149,0,"Dendritic","Itga9"
"Ybx1",0,-0.299078162239884,0.928,0.947,0,"Dendritic","Ybx1"
"Sesn1.2",0,-0.299573050617316,0.044,0.183,0,"Dendritic","Sesn1"
"Myo1e.1",0,-0.299650682749956,0.068,0.223,0,"Dendritic","Myo1e"
"Alas1",0,-0.300306126295975,0.128,0.29,0,"Dendritic","Alas1"
"Ppt2",0,-0.302399590784693,0.168,0.346,0,"Dendritic","Ppt2"
"Pitpnc1",0,-0.302706846680548,0.078,0.244,0,"Dendritic","Pitpnc1"
"Ctnnd1.1",0,-0.306009636389428,0.056,0.222,0,"Dendritic","Ctnnd1"
"Mtus1",0,-0.307788303387706,0.036,0.184,0,"Dendritic","Mtus1"
"Klc4",0,-0.30884687193877,0.061,0.239,0,"Dendritic","Klc4"
"Comtd1.1",0,-0.309121345951182,0.084,0.261,0,"Dendritic","Comtd1"
"Bhlhe41.1",0,-0.309150637209305,0.008,0.151,0,"Dendritic","Bhlhe41"
"P2ry12.1",0,-0.310234092398305,0.032,0.177,0,"Dendritic","P2ry12"
"Psen2",0,-0.31079193347242,0.157,0.327,0,"Dendritic","Psen2"
"Trim47.2",0,-0.312454687140788,0.045,0.205,0,"Dendritic","Trim47"
"Atp6v0a1",0,-0.313079209977135,0.136,0.318,0,"Dendritic","Atp6v0a1"
"Tmem140.1",0,-0.313977703453099,0.048,0.205,0,"Dendritic","Tmem140"
"Igf2r.1",0,-0.31599807212749,0.044,0.198,0,"Dendritic","Igf2r"
"Pdgfa",0,-0.317003432042797,0.045,0.187,0,"Dendritic","Pdgfa"
"Arid5b",0,-0.317286259426499,0.101,0.262,0,"Dendritic","Arid5b"
"Nagk.1",0,-0.317596073255257,0.127,0.307,0,"Dendritic","Nagk"
"Mtmr10",0,-0.319111485716926,0.077,0.235,0,"Dendritic","Mtmr10"
"Slco2b1.2",0,-0.321249993810767,0.013,0.15,0,"Dendritic","Slco2b1"
"Plau",0,-0.321317693798578,0.026,0.158,0,"Dendritic","Plau"
"Aoah.1",0,-0.323673577028617,0.016,0.174,0,"Dendritic","Aoah"
"Fez2.1",0,-0.32439632190366,0.076,0.25,0,"Dendritic","Fez2"
"Mrpl27",0,-0.327276147207757,0.203,0.39,0,"Dendritic","Mrpl27"
"Pkig",0,-0.327794327274157,0.264,0.453,0,"Dendritic","Pkig"
"Srgap2.1",0,-0.328170707523235,0.114,0.279,0,"Dendritic","Srgap2"
"Ano6",0,-0.328855854373952,0.145,0.331,0,"Dendritic","Ano6"
"Cd300lb",0,-0.329989573791294,0.06,0.239,0,"Dendritic","Cd300lb"
"Ccdc23.1",0,-0.33055320969583,0.288,0.479,0,"Dendritic","Ccdc23"
"Tmem87b",0,-0.331384479360769,0.07,0.242,0,"Dendritic","Tmem87b"
"Ahnak2.1",0,-0.332652978687828,0.037,0.199,0,"Dendritic","Ahnak2"
"Snx8.1",0,-0.333941826893411,0.155,0.342,0,"Dendritic","Snx8"
"Ly9",0,-0.3346806899293,0.121,0.321,0,"Dendritic","Ly9"
"P2rx7.1",0,-0.335361867098474,0.072,0.233,0,"Dendritic","P2rx7"
"Lrp12.1",0,-0.335688325222025,0.034,0.201,0,"Dendritic","Lrp12"
"Snx24",0,-0.336823233614997,0.035,0.22,0,"Dendritic","Snx24"
"Plgrkt",0,-0.33695178584845,0.298,0.49,0,"Dendritic","Plgrkt"
"Glb1.2",0,-0.337408008281575,0.102,0.285,0,"Dendritic","Glb1"
"Clcn7",0,-0.33770752641699,0.085,0.269,0,"Dendritic","Clcn7"
"Wsb2.1",0,-0.33813047040285,0.189,0.368,0,"Dendritic","Wsb2"
"Vwa5a",0,-0.338514666023332,0.237,0.432,0,"Dendritic","Vwa5a"
"Cib1",0,-0.339908373485113,0.258,0.467,0,"Dendritic","Cib1"
"Cnpy2.2",0,-0.340000595690642,0.295,0.479,0,"Dendritic","Cnpy2"
"Blnk.2",0,-0.342573315732414,0.225,0.469,0,"Dendritic","Blnk"
"Dpep2",0,-0.343778947645423,0.224,0.426,0,"Dendritic","Dpep2"
"Lcp2.2",0,-0.344180561456826,0.217,0.405,0,"Dendritic","Lcp2"
"Pilra.1",0,-0.344547612097531,0.092,0.259,0,"Dendritic","Pilra"
"Sqrdl",0,-0.345560339017867,0.044,0.243,0,"Dendritic","Sqrdl"
"Mcee",0,-0.346704856882609,0.137,0.336,0,"Dendritic","Mcee"
"Elk3",0,-0.348236758560483,0.167,0.367,0,"Dendritic","Elk3"
"F7.3",0,-0.348367069929599,0.009,0.138,0,"Dendritic","F7"
"Dcxr.1",0,-0.351486318328406,0.21,0.387,0,"Dendritic","Dcxr"
"Lgals8.1",0,-0.351692231905334,0.14,0.346,0,"Dendritic","Lgals8"
"Tmem9b.1",0,-0.357087028508616,0.239,0.432,0,"Dendritic","Tmem9b"
"Naa20.1",0,-0.357960294620862,0.219,0.391,0,"Dendritic","Naa20"
"Bcl2l1",0,-0.358050111860818,0.099,0.282,0,"Dendritic","Bcl2l1"
"AI413582",0,-0.358445291360578,0.267,0.459,0,"Dendritic","AI413582"
"Scoc.2",0,-0.358584995428301,0.084,0.257,0,"Dendritic","Scoc"
"Ndufa4.1",0,-0.359252560448191,0.797,0.862,0,"Dendritic","Ndufa4"
"Rhoc.1",0,-0.359501421845838,0.102,0.272,0,"Dendritic","Rhoc"
"Srp14.1",0,-0.360352359856711,0.652,0.761,0,"Dendritic","Srp14"
"Tex264.1",0,-0.360654472744288,0.136,0.348,0,"Dendritic","Tex264"
"Sirt2",0,-0.36189048955349,0.354,0.541,0,"Dendritic","Sirt2"
"Rhov.1",0,-0.362923296544734,0.03,0.188,0,"Dendritic","Rhov"
"Cmtm7",0,-0.363106433767378,0.5,0.667,0,"Dendritic","Cmtm7"
"Ugp2.1",0,-0.363143246782385,0.232,0.415,0,"Dendritic","Ugp2"
"Cmtm3.1",0,-0.363207801027829,0.314,0.505,0,"Dendritic","Cmtm3"
"Clec5a",0,-0.363347440300874,0.05,0.226,0,"Dendritic","Clec5a"
"Arhgap10.1",0,-0.36344156292062,0.034,0.232,0,"Dendritic","Arhgap10"
"Lamtor2.1",0,-0.364245658711883,0.571,0.709,0,"Dendritic","Lamtor2"
"Ncf2.1",0,-0.364287095960771,0.519,0.705,0,"Dendritic","Ncf2"
"Ndufb8.1",0,-0.366120679689464,0.67,0.772,0,"Dendritic","Ndufb8"
"Zswim6",0,-0.366828687243447,0.131,0.315,0,"Dendritic","Zswim6"
"Mitf",0,-0.367413570392013,0.053,0.244,0,"Dendritic","Mitf"
"Emp3.2",0,-0.36760356708455,0.835,0.921,0,"Dendritic","Emp3"
"Fam63a",0,-0.37068668199569,0.072,0.27,0,"Dendritic","Fam63a"
"Wdfy3.1",0,-0.371377265328183,0.089,0.28,0,"Dendritic","Wdfy3"
"Rrbp1.1",0,-0.371505181661336,0.753,0.85,0,"Dendritic","Rrbp1"
"Cln3",0,-0.371645769516159,0.191,0.401,0,"Dendritic","Cln3"
"Rtn3.1",0,-0.371886339058935,0.443,0.615,0,"Dendritic","Rtn3"
"Fundc2.2",0,-0.374092147026856,0.313,0.509,0,"Dendritic","Fundc2"
"Vdac2.1",0,-0.374570434700868,0.659,0.767,0,"Dendritic","Vdac2"
"Stard8.2",0,-0.37521529702197,0.055,0.209,0,"Dendritic","Stard8"
"Dram2",0,-0.375304331293539,0.182,0.389,0,"Dendritic","Dram2"
"Stx4a",0,-0.376391459297461,0.378,0.553,0,"Dendritic","Stx4a"
"Tmem205.1",0,-0.376569734682654,0.117,0.328,0,"Dendritic","Tmem205"
"Rnf7.1",0,-0.376766883392058,0.459,0.621,0,"Dendritic","Rnf7"
"Cela1.3",0,-0.376783914342107,0.006,0.178,0,"Dendritic","Cela1"
"Adam9.1",0,-0.376923870275768,0.132,0.341,0,"Dendritic","Adam9"
"Ap1b1.2",0,-0.377132436367145,0.219,0.392,0,"Dendritic","Ap1b1"
"Lrrc25.1",0,-0.377910973435498,0.313,0.503,0,"Dendritic","Lrrc25"
"Reps2.2",0,-0.378211350596323,0.014,0.183,0,"Dendritic","Reps2"
"Samd8",0,-0.378496108155522,0.122,0.304,0,"Dendritic","Samd8"
"Rnf149.2",0,-0.378967695164927,0.255,0.445,0,"Dendritic","Rnf149"
"Plbd2.1",0,-0.381492244110509,0.237,0.439,0,"Dendritic","Plbd2"
"Vps35.1",0,-0.381993566680251,0.375,0.542,0,"Dendritic","Vps35"
"Idh2.1",0,-0.382027237648384,0.197,0.406,0,"Dendritic","Idh2"
"Tns3",0,-0.38210253377142,0.234,0.432,0,"Dendritic","Tns3"
"Arl6ip1",0,-0.382751787096599,0.685,0.795,0,"Dendritic","Arl6ip1"
"Serpinb8.1",0,-0.382926791231824,0.06,0.243,0,"Dendritic","Serpinb8"
"Tmem120a.1",0,-0.383446841588021,0.103,0.302,0,"Dendritic","Tmem120a"
"Tceal8",0,-0.383483721325867,0.108,0.315,0,"Dendritic","Tceal8"
"Vamp8",0,-0.384606247676842,0.805,0.883,0,"Dendritic","Vamp8"
"Mapk3",0,-0.385260187604636,0.316,0.517,0,"Dendritic","Mapk3"
"Echs1.1",0,-0.386703992766569,0.231,0.426,0,"Dendritic","Echs1"
"Itsn1.1",0,-0.387541405774111,0.04,0.237,0,"Dendritic","Itsn1"
"Cers2.1",0,-0.388034636539822,0.372,0.551,0,"Dendritic","Cers2"
"Dpp7.1",0,-0.388187403544615,0.106,0.315,0,"Dendritic","Dpp7"
"Cerk.1",0,-0.388525155065101,0.224,0.436,0,"Dendritic","Cerk"
"Snx27",0,-0.388579745546656,0.084,0.284,0,"Dendritic","Snx27"
"Tlr13",0,-0.38864813219056,0.06,0.274,0,"Dendritic","Tlr13"
"Pfdn1",0,-0.389539968278089,0.279,0.484,0,"Dendritic","Pfdn1"
"Galc",0,-0.390555103174097,0.037,0.24,0,"Dendritic","Galc"
"Adam17",0,-0.390792590700858,0.275,0.472,0,"Dendritic","Adam17"
"Tmem38b",0,-0.390889897762695,0.065,0.281,0,"Dendritic","Tmem38b"
"Plekhm2",0,-0.392071183533774,0.182,0.375,0,"Dendritic","Plekhm2"
"Arrb2.2",0,-0.392073864446067,0.37,0.557,0,"Dendritic","Arrb2"
"S100a1",0,-0.392930698475766,0.217,0.412,0,"Dendritic","S100a1"
"Tlr7",0,-0.393252814828891,0.061,0.277,0,"Dendritic","Tlr7"
"Bag1.1",0,-0.394769482581823,0.557,0.7,0,"Dendritic","Bag1"
"Xdh.1",0,-0.395210431335721,0.098,0.318,0,"Dendritic","Xdh"
"Ap1s1.1",0,-0.395515164145694,0.197,0.416,0,"Dendritic","Ap1s1"
"Prdx4.2",0,-0.399658081658611,0.223,0.415,0,"Dendritic","Prdx4"
"Tmed10.1",0,-0.401193739995967,0.718,0.832,0,"Dendritic","Tmed10"
"1810058I24Rik.1",0,-0.402171463746975,0.504,0.658,0,"Dendritic","1810058I24Rik"
"Lamtor5.1",0,-0.40616560749325,0.496,0.667,0,"Dendritic","Lamtor5"
"Slc27a1.2",0,-0.406287264713107,0.055,0.252,0,"Dendritic","Slc27a1"
"Tmem261.1",0,-0.40673089370932,0.33,0.517,0,"Dendritic","Tmem261"
"Lasp1",0,-0.406792863292819,0.33,0.511,0,"Dendritic","Lasp1"
"Qk.1",0,-0.408060201262819,0.489,0.66,0,"Dendritic","Qk"
"Zfand2a",0,-0.410217311256782,0.145,0.34,0,"Dendritic","Zfand2a"
"Ski",0,-0.411536929221727,0.178,0.392,0,"Dendritic","Ski"
"Paox.2",0,-0.411989272447139,0.053,0.263,0,"Dendritic","Paox"
"Anxa3.1",0,-0.412378883710075,0.189,0.523,0,"Dendritic","Anxa3"
"Naglu.2",0,-0.412801154323426,0.072,0.286,0,"Dendritic","Naglu"
"Fnip1",0,-0.418134016905647,0.283,0.485,0,"Dendritic","Fnip1"
"Ifi27.3",0,-0.420655330493037,0.172,0.379,0,"Dendritic","Ifi27"
"Eea1",0,-0.421320504041759,0.197,0.384,0,"Dendritic","Eea1"
"Slc16a10",0,-0.421363427376022,0.048,0.265,0,"Dendritic","Slc16a10"
"Rab11fip5.2",0,-0.421433876388635,0.07,0.284,0,"Dendritic","Rab11fip5"
"Adap2.1",0,-0.42242152488949,0.123,0.337,0,"Dendritic","Adap2"
"Dnase1l1.1",0,-0.422485982099087,0.208,0.439,0,"Dendritic","Dnase1l1"
"Dusp6.1",0,-0.422809305260507,0.053,0.219,0,"Dendritic","Dusp6"
"Gla",0,-0.423632007954297,0.282,0.517,0,"Dendritic","Gla"
"Mocs2.1",0,-0.42497279195087,0.137,0.371,0,"Dendritic","Mocs2"
"Hmox2.1",0,-0.425393164873919,0.395,0.588,0,"Dendritic","Hmox2"
"B2m.2",0,-0.425953459272057,0.995,0.997,0,"Dendritic","B2m"
"Rab14",0,-0.428502651197928,0.564,0.729,0,"Dendritic","Rab14"
"Pon2",0,-0.429332092789997,0.243,0.464,0,"Dendritic","Pon2"
"Tnfaip2.3",0,-0.429686828450805,0.199,0.398,0,"Dendritic","Tnfaip2"
"Myo1f",0,-0.432172513478267,0.335,0.552,0,"Dendritic","Myo1f"
"Fkbp2.2",0,-0.433194853985046,0.484,0.646,0,"Dendritic","Fkbp2"
"Gm13476",0,-0.43358469522263,0.169,0.396,0,"Dendritic","Gm13476"
"Ldlrap1",0,-0.434096778569407,0.065,0.297,0,"Dendritic","Ldlrap1"
"Arhgap19.2",0,-0.434714681992004,0.022,0.229,0,"Dendritic","Arhgap19"
"Atp6v0d1.1",0,-0.434787751305799,0.524,0.685,0,"Dendritic","Atp6v0d1"
"Rab31.1",0,-0.435426137072668,0.121,0.357,0,"Dendritic","Rab31"
"Ctla2b.3",0,-0.436549833126874,0.035,0.201,0,"Dendritic","Ctla2b"
"Rap2b",0,-0.437616660157782,0.24,0.498,0,"Dendritic","Rap2b"
"Hk3.1",0,-0.43800453236283,0.047,0.268,0,"Dendritic","Hk3"
"Shfm1.1",0,-0.440120336824478,0.931,0.952,0,"Dendritic","Shfm1"
"St6galnac4",0,-0.442685397300088,0.152,0.385,0,"Dendritic","St6galnac4"
"Galns.1",0,-0.442829154386148,0.058,0.289,0,"Dendritic","Galns"
"2310022A10Rik.1",0,-0.443352291274862,0.108,0.336,0,"Dendritic","2310022A10Rik"
"Bsg.1",0,-0.444563667287586,0.633,0.76,0,"Dendritic","Bsg"
"B4galt6.1",0,-0.445122012914867,0.135,0.357,0,"Dendritic","B4galt6"
"mt-Nd1.3",0,-0.446520837071874,0.925,0.967,0,"Dendritic","mt-Nd1"
"Eif4ebp1",0,-0.446815885460665,0.304,0.531,0,"Dendritic","Eif4ebp1"
"1110001A16Rik.2",0,-0.447639736626418,0.145,0.362,0,"Dendritic","1110001A16Rik"
"2010111I01Rik.1",0,-0.450772647529459,0.125,0.348,0,"Dendritic","2010111I01Rik"
"Csf3r",0,-0.450813763831328,0.049,0.281,0,"Dendritic","Csf3r"
"Nisch.1",0,-0.4519235765537,0.314,0.535,0,"Dendritic","Nisch"
"Dok3",0,-0.452349870478658,0.077,0.314,0,"Dendritic","Dok3"
"Entpd1",0,-0.452495379991999,0.159,0.38,0,"Dendritic","Entpd1"
"Tgfbr2.2",0,-0.453870768931026,0.185,0.409,0,"Dendritic","Tgfbr2"
"Dmxl2.1",0,-0.454558685503343,0.013,0.223,0,"Dendritic","Dmxl2"
"Man1c1.3",0,-0.455287864330337,0.095,0.335,0,"Dendritic","Man1c1"
"Gpx4.3",0,-0.455795598116517,0.788,0.863,0,"Dendritic","Gpx4"
"Litaf",0,-0.456346117357182,0.693,0.83,0,"Dendritic","Litaf"
"Aldh3b1",0,-0.456782291490217,0.138,0.388,0,"Dendritic","Aldh3b1"
"Plod1",0,-0.457330341637232,0.067,0.32,0,"Dendritic","Plod1"
"Tbxas1.1",0,-0.459126874676774,0.2,0.44,0,"Dendritic","Tbxas1"
"Rap1b.1",0,-0.459257699055719,0.826,0.899,0,"Dendritic","Rap1b"
"Tyrobp.2",0,-0.460552185366034,0.977,0.99,0,"Dendritic","Tyrobp"
"Atp6v0d2.4",0,-0.460620132942215,0.007,0.132,0,"Dendritic","Atp6v0d2"
"Cenpb.1",0,-0.460656944271294,0.23,0.456,0,"Dendritic","Cenpb"
"mt-Nd4.2",0,-0.460950261903243,0.887,0.945,0,"Dendritic","mt-Nd4"
"Frmd4b.2",0,-0.462119991248707,0.16,0.366,0,"Dendritic","Frmd4b"
"Arl8a.1",0,-0.463044757429367,0.281,0.507,0,"Dendritic","Arl8a"
"Nme1.5",0,-0.46353917432916,0.593,0.707,0,"Dendritic","Nme1"
"Fam129b.3",0,-0.464879150317855,0.258,0.455,0,"Dendritic","Fam129b"
"2610001J05Rik.1",0,-0.466989761090353,0.289,0.518,0,"Dendritic","2610001J05Rik"
"Adam15.1",0,-0.46873934351722,0.204,0.452,0,"Dendritic","Adam15"
"Rragc.1",0,-0.469468241038595,0.331,0.552,0,"Dendritic","Rragc"
"Aldoa.5",0,-0.470131298674177,0.708,0.79,0,"Dendritic","Aldoa"
"Spcs1.1",0,-0.471826177104789,0.576,0.733,0,"Dendritic","Spcs1"
"Ophn1.1",0,-0.472784276733874,0.026,0.264,0,"Dendritic","Ophn1"
"Ethe1",0,-0.473305049619669,0.157,0.405,0,"Dendritic","Ethe1"
"Nr1h3.2",0,-0.473672570242513,0.042,0.269,0,"Dendritic","Nr1h3"
"Neu1",0,-0.474071266769606,0.232,0.492,0,"Dendritic","Neu1"
"Arap1",0,-0.474133473684656,0.16,0.404,0,"Dendritic","Arap1"
"Hprt.1",0,-0.474219580939687,0.426,0.617,0,"Dendritic","Hprt"
"Ckap4.1",0,-0.474704227770963,0.135,0.354,0,"Dendritic","Ckap4"
"Dok2.2",0,-0.47537392446708,0.141,0.364,0,"Dendritic","Dok2"
"Mtss1.2",0,-0.475424291613383,0.129,0.36,0,"Dendritic","Mtss1"
"Comt.1",0,-0.476938418452636,0.454,0.667,0,"Dendritic","Comt"
"C3.4",0,-0.477728396707845,0.061,0.207,0,"Dendritic","C3"
"Rin2.2",0,-0.47808089110622,0.098,0.324,0,"Dendritic","Rin2"
"Man2a1",0,-0.479432704254437,0.174,0.408,0,"Dendritic","Man2a1"
"Ms4a6c.3",0,-0.480013178453394,0.686,0.889,0,"Dendritic","Ms4a6c"
"Snx6.1",0,-0.480319552070014,0.293,0.488,0,"Dendritic","Snx6"
"Tmem189.1",0,-0.481073146379399,0.376,0.584,0,"Dendritic","Tmem189"
"Ly96.1",0,-0.481432206305163,0.103,0.36,0,"Dendritic","Ly96"
"Fblim1.2",0,-0.482888399100541,0.017,0.263,0,"Dendritic","Fblim1"
"Gnpda1.1",0,-0.483930357554595,0.186,0.421,0,"Dendritic","Gnpda1"
"Fcgr2b.3",0,-0.486213535879763,0.462,0.682,0,"Dendritic","Fcgr2b"
"Rbms1.1",0,-0.487942362963772,0.529,0.698,0,"Dendritic","Rbms1"
"Cd300ld.1",0,-0.4887672703772,0.141,0.366,0,"Dendritic","Cd300ld"
"Pgd.1",0,-0.489233209414885,0.307,0.557,0,"Dendritic","Pgd"
"Idh1.1",0,-0.48945765430918,0.117,0.378,0,"Dendritic","Idh1"
"Ptpn18.1",0,-0.491480044165583,0.764,0.88,0,"Dendritic","Ptpn18"
"Sh3glb1.1",0,-0.492151975855408,0.772,0.858,0,"Dendritic","Sh3glb1"
"Slc7a7.1",0,-0.492439111165747,0.115,0.376,0,"Dendritic","Slc7a7"
"Rtp4.2",0,-0.492606092023096,0.247,0.452,0,"Dendritic","Rtp4"
"Tmem256.3",0,-0.493475930929623,0.576,0.731,0,"Dendritic","Tmem256"
"Rnf130.1",0,-0.493965070610782,0.591,0.771,0,"Dendritic","Rnf130"
"Adssl1.4",0,-0.495018166970507,0.247,0.462,0,"Dendritic","Adssl1"
"Aplp2.3",0,-0.495251179318776,0.377,0.591,0,"Dendritic","Aplp2"
"Dse.1",0,-0.496092623681537,0.103,0.352,0,"Dendritic","Dse"
"Rab7.2",0,-0.497079077379271,0.686,0.802,0,"Dendritic","Rab7"
"Zfp703",0,-0.497158829277272,0.219,0.44,0,"Dendritic","Zfp703"
"Cyfip1",0,-0.498797062916288,0.45,0.666,0,"Dendritic","Cyfip1"
"Clec4a1.4",0,-0.499464362932287,0.306,0.515,0,"Dendritic","Clec4a1"
"Ggh",0,-0.501265637465149,0.273,0.537,0,"Dendritic","Ggh"
"Ltc4s.4",0,-0.501327745160919,0.046,0.188,0,"Dendritic","Ltc4s"
"Tgfbr1.2",0,-0.501534097978846,0.17,0.402,0,"Dendritic","Tgfbr1"
"Osbpl8.1",0,-0.502809349162112,0.238,0.451,0,"Dendritic","Osbpl8"
"Cybb.4",0,-0.503643529252291,0.608,0.824,0,"Dendritic","Cybb"
"Clec12a.1",0,-0.505281002817715,0.477,0.655,0,"Dendritic","Clec12a"
"Sypl",0,-0.507074801470811,0.247,0.506,0,"Dendritic","Sypl"
"Hsbp1.1",0,-0.507169370069281,0.488,0.688,0,"Dendritic","Hsbp1"
"Pdlim4.1",0,-0.51170805120127,0.084,0.363,0,"Dendritic","Pdlim4"
"Gpr34.2",0,-0.512036407360832,0.063,0.235,0,"Dendritic","Gpr34"
"Gstm1",0,-0.514178293756532,0.059,0.308,0,"Dendritic","Gstm1"
"Psmb6.3",0,-0.515736346366225,0.707,0.788,0,"Dendritic","Psmb6"
"Vps29.1",0,-0.516737474729391,0.472,0.655,0,"Dendritic","Vps29"
"Nt5dc2.1",0,-0.516757830986539,0.041,0.269,0,"Dendritic","Nt5dc2"
"Slc6a8.2",0,-0.518510958013079,0.022,0.241,0,"Dendritic","Slc6a8"
"Plxnb2",0,-0.521728720124781,0.264,0.517,0,"Dendritic","Plxnb2"
"Sec14l1.1",0,-0.522658892827559,0.157,0.417,0,"Dendritic","Sec14l1"
"Gp49a.1",0,-0.524294242358925,0.365,0.632,0,"Dendritic","Gp49a"
"Ypel3.2",0,-0.52457714194824,0.37,0.55,0,"Dendritic","Ypel3"
"Bax.1",0,-0.524706940135193,0.654,0.763,0,"Dendritic","Bax"
"Grina.2",0,-0.526151536952,0.288,0.553,0,"Dendritic","Grina"
"Ap2s1.1",0,-0.529046494081745,0.581,0.739,0,"Dendritic","Ap2s1"
"Fgd4",0,-0.529164660279614,0.049,0.3,0,"Dendritic","Fgd4"
"Tmem65.1",0,-0.529578642057057,0.103,0.362,0,"Dendritic","Tmem65"
"Sdc3.2",0,-0.530437070395444,0.427,0.615,0,"Dendritic","Sdc3"
"Mertk.1",0,-0.533541999408539,0.018,0.277,0,"Dendritic","Mertk"
"Dtnbp1.1",0,-0.53486593023439,0.301,0.532,0,"Dendritic","Dtnbp1"
"Lamtor1.2",0,-0.53501974216797,0.571,0.735,0,"Dendritic","Lamtor1"
"Dbi.1",0,-0.537439142707723,0.707,0.861,0,"Dendritic","Dbi"
"mt-Cytb.2",0,-0.540814087072009,0.889,0.957,0,"Dendritic","mt-Cytb"
"Atp6ap1",0,-0.54337007832639,0.462,0.686,0,"Dendritic","Atp6ap1"
"Myof.1",0,-0.546979998963199,0.161,0.423,0,"Dendritic","Myof"
"Camk2d.1",0,-0.549824948581148,0.19,0.457,0,"Dendritic","Camk2d"
"Abcc3.2",0,-0.552365062324343,0.02,0.29,0,"Dendritic","Abcc3"
"Cmklr1.1",0,-0.554998565494225,0.036,0.324,0,"Dendritic","Cmklr1"
"Npc2.1",0,-0.555760301404275,0.964,0.981,0,"Dendritic","Npc2"
"Gas7.3",0,-0.555959329076816,0.158,0.398,0,"Dendritic","Gas7"
"Rnpep.1",0,-0.557710600892794,0.277,0.55,0,"Dendritic","Rnpep"
"Ets2.1",0,-0.557940577980999,0.176,0.408,0,"Dendritic","Ets2"
"Tcn2.1",0,-0.558451517560803,0.181,0.462,0,"Dendritic","Tcn2"
"Dnase2a.1",0,-0.560542210537381,0.26,0.526,0,"Dendritic","Dnase2a"
"Fnip2.1",0,-0.56112418692855,0.122,0.36,0,"Dendritic","Fnip2"
"Trappc2l.1",0,-0.563319663709439,0.399,0.629,0,"Dendritic","Trappc2l"
"Sgpl1.1",0,-0.564790570864083,0.366,0.607,0,"Dendritic","Sgpl1"
"Atp6v1e1.1",0,-0.567477836980327,0.448,0.672,0,"Dendritic","Atp6v1e1"
"Gabarap.1",0,-0.567941811709963,0.937,0.959,0,"Dendritic","Gabarap"
"Gas2l3",0,-0.567967285799545,0.109,0.352,0,"Dendritic","Gas2l3"
"Tlr2.2",0,-0.569431692779764,0.301,0.517,0,"Dendritic","Tlr2"
"Asah1",0,-0.570556091354457,0.588,0.771,0,"Dendritic","Asah1"
"Mmp14.1",0,-0.574137697144726,0.102,0.331,0,"Dendritic","Mmp14"
"Npc1.1",0,-0.576332994767893,0.224,0.51,0,"Dendritic","Npc1"
